Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Soybean,Saline,33.12,247.02,78.98,679.46,Chilli
Peach,Clayey,34.04,315.9,119.71,446.94,Potato
Tomato,Saline,30.97,399.36,96.92,459.62,Rice
Bell Pepper,Clayey,30.06,160.19,95.72,402.99,Potato
Soybean,Clayey,26.36,219.52,80.49,469.03,Potato
Maize,Sandy,33.78,169.79,76.98,398.87,Maize
Soybean,Sandy,25.71,309.51,82.53,346.16,Soybean
Tomato,Saline,29.2,360.52,97.26,532.86,Rice
Bell Pepper,Saline,37.15,240.9,69.72,562.46,Chilli
Peach,Sandy,21.79,248.5,72.02,628.06,Maize
Tomato,Saline,30.57,223.51,109.01,527.5,Chilli
Tomato,Sandy,29.72,290.86,104.95,447.98,Soybean
Maize,Loamy,27.57,181.62,107.07,488.49,Maize
Potato,Saline,31.95,197.06,106.85,403.38,Chilli
Bell Pepper,Clayey,20.31,170.3,77.33,626.43,Peach
Rice,Loamy,29.85,185.84,85.38,363.71,Potato
Tomato,Loamy,29.71,360.92,51.75,619.81,Peach
Potato,Saline,30.32,195.03,90.51,312.55,Chilli
Rice,Sandy,24.25,270.81,61.44,372.18,Maize
Bell Pepper,Clayey,24.15,324.81,75.45,334.01,Chilli
Corn,Sandy,32.94,197.16,110.75,388.69,Soybean
Potato,Saline,21.85,262.29,75.51,689.3,Rice
Chilli,Sandy,26.12,203.56,83.74,309.45,Soybean
Corn,Saline,36.62,378.7,72.33,491.73,Rice
Maize,Saline,22.08,159.19,107.18,508.86,Chilli
Soybean,Clayey,29.36,296.73,67.52,496.06,Potato
Peach,Saline,33.37,370.31,50.36,503.65,Rice
Chilli,Clayey,22.83,346.52,61.22,620.96,Corn
Maize,Loamy,26.25,208.34,115.81,533.43,Tomato
Bell Pepper,Sandy,31.18,284.35,67.85,539.14,Maize
Maize,Saline,26.54,165.52,63.6,504.1,Chilli
Soybean,Sandy,22.2,219.75,82.12,314.84,Soybean
Bell Pepper,Sandy,24.65,246.22,67.2,409.73,Maize
Chilli,Clayey,22.19,168.73,77.49,401.94,Chilli
Soybean,Sandy,39.67,191.82,62.48,391.79,Maize
Rice,Sandy,24.71,360.84,111.4,394.85,Soybean
Peach,Sandy,30.61,266.9,61.68,312.05,Maize
Chilli,Saline,28.57,385.57,60.49,312.67,Rice
Rice,Sandy,31.39,189.11,104.96,698.91,Soybean
Chilli,Loamy,29.96,317.6,97.15,536.05,Corn
Bell Pepper,Clayey,34.54,341.01,81.6,497.96,Potato
Rice,Loamy,37.46,343.98,79.37,385.59,Tomato
Peach,Clayey,25.71,340.18,62.97,695.07,Potato
Soybean,Sandy,23.67,191.92,108.09,340.36,Soybean
Tomato,Clayey,39.69,261.66,98.62,620.66,Potato
Maize,Saline,37.32,372.86,92.19,647.9,Rice
Corn,Saline,27.28,292.56,63.52,535.54,Rice
Peach,Loamy,37.9,243.4,104.21,503.58,Tomato
Rice,Saline,33.41,153.56,79.75,496.49,Chilli
Tomato,Sandy,28.75,301.96,103.12,636.4,Soybean
Peach,Loamy,37.47,373.64,112.97,684.69,Tomato
Rice,Loamy,33.51,200.95,84.98,689.49,Tomato
Potato,Loamy,36.53,398.76,102.48,307.67,Tomato
Potato,Saline,28.36,202.62,68.6,686.05,Chilli
Peach,Clayey,35.97,292.6,75.06,625.76,Potato
Potato,Saline,27.34,270.08,106.32,364.88,Rice
Rice,Loamy,34.7,342.62,52.2,412.99,Tomato
Rice,Clayey,28.71,272.34,104.08,619.44,Potato
Peach,Loamy,28.1,234.1,73.83,366.88,Corn
Tomato,Loamy,35.93,389.86,119.06,444.01,Tomato
Soybean,Clayey,22.5,292.09,115.29,415.8,Corn
Chilli,Clayey,38.56,161.03,87.48,371.56,Corn
Tomato,Loamy,30.17,260.72,55.93,536.51,Tomato
Bell Pepper,Loamy,32.72,275.39,99.77,448.26,Tomato
Rice,Saline,28.11,158.46,56.64,312.95,Chilli
Bell Pepper,Saline,32.92,320.72,57.72,468.57,Rice
Tomato,Saline,34.2,270.81,74.08,651.96,Rice
Chilli,Sandy,37.37,178.41,102.9,571.16,Soybean
Chilli,Loamy,37.09,233.89,67.5,345.31,Tomato
Corn,Saline,27.16,275.17,114.37,538.67,Rice
Chilli,Loamy,32.32,368.1,79.74,302.75,Tomato
Soybean,Sandy,35.61,265.34,102.32,305.72,Soybean
Chilli,Saline,35.3,375.94,63.35,346.71,Rice
Tomato,Saline,37.82,339.18,72.95,615.59,Rice
Corn,Loamy,36.64,311.44,79.15,390.85,Tomato
Tomato,Loamy,34.36,305.61,64.8,477.1,Tomato
Tomato,Clayey,34.98,332.35,113.71,346.63,Corn
Maize,Clayey,36.15,260.85,112.31,607.15,Potato
Corn,Saline,36.76,255.59,78.3,659.55,Rice
Tomato,Clayey,27.05,204.69,117.5,651.18,Potato
Maize,Saline,35.64,289.54,57.47,394.01,Rice
Maize,Loamy,38.98,323.57,50.28,396.29,Tomato
Corn,Clayey,24.66,216.41,105.99,692.16,Maize
Bell Pepper,Saline,20.96,207.84,65.07,596.84,Chilli
Soybean,Loamy,21.45,196.55,103.43,312.15,Corn
Chilli,Saline,24.33,165.04,100.99,500.9,Chilli
Soybean,Sandy,38.4,378.95,114.39,552.71,Soybean
Chilli,Clayey,22.54,377.27,66.56,378.11,Bell Pepper
Tomato,Sandy,34.95,188.14,117.04,409.31,Soybean
Rice,Loamy,37.34,354.1,56.25,688.4,Tomato
Corn,Saline,37.55,249.23,108.62,632.92,Chilli
Soybean,Saline,28.33,293.85,77.95,304.67,Rice
Soybean,Loamy,29.91,285.18,52.27,530.7,Peach
Tomato,Sandy,26.46,324.09,76.59,463.5,Maize
Bell Pepper,Saline,22.95,301.64,109.54,520.21,Rice
Maize,Sandy,24.24,214.87,90.77,613.19,Soybean
Tomato,Sandy,22.7,244.92,50.22,328.25,Maize
Potato,Sandy,28.15,240.84,94.19,594.5,Soybean
Maize,Clayey,23.41,382.72,56.88,605.75,Corn
Corn,Sandy,28.07,161.12,81.0,548.04,Soybean
Maize,Clayey,37.02,345.57,60.66,434.23,Potato
Bell Pepper,Sandy,33.09,261.55,95.85,485.24,Soybean
Maize,Sandy,33.26,333.55,116.42,483.17,Soybean
Corn,Clayey,36.24,226.56,51.63,369.27,Corn
Bell Pepper,Saline,20.82,174.75,55.08,441.99,Chilli
Soybean,Saline,35.89,351.19,104.27,568.75,Rice
Soybean,Loamy,23.93,176.01,56.96,349.5,Corn
Chilli,Loamy,26.92,353.5,113.37,569.54,Rice
Maize,Saline,26.16,283.76,110.21,649.1,Rice
Soybean,Loamy,22.11,319.96,119.94,541.33,Soybean
Corn,Saline,23.47,216.51,65.05,532.16,Chilli
Peach,Loamy,39.13,319.73,103.6,582.87,Tomato
Peach,Saline,32.01,373.13,96.69,455.35,Rice
Bell Pepper,Clayey,29.48,195.1,79.93,679.62,Potato
Soybean,Loamy,35.16,354.98,76.64,554.1,Tomato
Soybean,Clayey,36.27,294.65,102.51,681.29,Potato
Peach,Clayey,22.21,203.42,75.41,565.97,Tomato
Soybean,Clayey,34.82,358.95,52.17,418.73,Potato
Maize,Clayey,38.65,206.17,89.33,327.77,Corn
Potato,Clayey,31.71,370.09,111.75,350.04,Corn
Rice,Sandy,32.28,239.39,52.88,338.06,Maize
Chilli,Clayey,37.41,325.06,67.29,354.92,Corn
Bell Pepper,Loamy,33.59,332.51,58.9,455.89,Tomato
Potato,Clayey,39.91,274.08,65.79,643.61,Potato
Peach,Loamy,25.65,359.41,56.67,408.12,Chilli
Soybean,Clayey,36.91,242.44,110.72,554.7,Potato
Chilli,Loamy,32.25,363.21,63.69,579.98,Tomato
Soybean,Clayey,27.31,292.44,65.39,583.53,Potato
Corn,Saline,37.66,160.46,89.98,695.89,Chilli
Corn,Sandy,39.92,262.72,99.04,375.22,Soybean
Chilli,Loamy,21.16,354.5,106.95,495.93,Tomato
Chilli,Loamy,38.51,216.1,109.22,389.64,Tomato
Peach,Clayey,24.06,328.17,57.62,619.35,Maize
Chilli,Loamy,24.1,262.76,66.22,362.02,Soybean
Maize,Clayey,20.84,227.6,57.72,430.8,Potato
